#Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   8.83  0.03  0.18844 -2.298 3.529  5.075  9.70  0.036 0.00 20.214 24.999 23.584 22.049 20.956 19.646 18.424 17.869 17.622  0.188 
 1   8.83  0.23  0.19807 -2.266 3.529  5.064 13.50  0.038 0.83 23.372 28.356 26.908 25.347 24.216 22.837 21.558 21.010 20.753  0.198 
 1   8.85  0.11  0.34634 -1.788 3.564  4.967  7.90  0.028 0.00 17.139 21.186 19.972 18.587 17.600 16.500 15.413 14.826 14.620  0.346 
 1   8.89 -0.21  0.24423 -2.035 3.562  5.056 10.40  0.037 0.97 19.541 23.700 22.391 20.928 19.937 18.903 17.838 17.258 17.040  0.244 
 1   8.89 -0.17  0.19225 -2.253 3.543  5.094 10.70  0.037 0.00 21.104 25.699 24.257 22.713 21.668 20.503 19.364 18.792 18.550  0.192 
 1   8.89 -0.11  0.12483 -2.709 3.486  5.132  7.90  0.028 0.00 19.442 25.485 23.668 21.924 20.621 19.003 17.554 17.009 16.734  0.125 
 1   8.89  0.15  0.59639 -1.163 3.614  4.779  9.00  0.034 0.00 16.678 19.939 18.850 17.614 16.780 16.028 15.102 14.409 14.294  0.596 
 1   8.89  0.19  0.18092 -2.363 3.516  5.068 10.30  0.037 0.00 20.978 26.057 24.581 23.002 21.854 20.449 19.156 18.610 18.352  0.181 
 1   8.89  0.31  0.82119 -0.594 3.679  4.607  8.50  0.031 0.00 14.755 17.102 16.221 15.165 14.539 14.055 13.362 12.806 12.736  0.821 
 1   8.91 -0.25  0.52104 -1.279 3.615  4.840  8.70  0.032 0.00 16.668 19.777 18.760 17.520 16.697 16.004 15.115 14.451 14.324  0.521 
 1   8.91 -0.11  1.07424  0.061 3.776  4.458  9.00  0.034 0.00 13.617 14.354 14.304 13.694 13.335 13.020 12.626 12.312 12.281  1.074 
 1   8.91 -0.05  0.78305 -0.640 3.683  4.648 10.60  0.037 0.00 16.971 19.080 18.357 17.360 16.766 16.290 15.608 15.048 14.980  0.783 
 1   8.91 -0.01  0.34842 -1.774 3.569  4.977 10.70  0.037 0.00 19.904 23.837 22.650 21.275 20.304 19.255 18.194 17.608 17.410  0.348 
