objName,raMean,decMean,rMeanApMag,rMeanPSFMag,qualityFlag
string,ra,dec,float,float,integer
PSO J054533.222+205725.839,05 45 33.222,+20 57 25.77,21.404,22.046,37
PSO J054530.810+210331.502,05 45 30.810,+21 03 31.46,20.628,20.607,52
PSO J054533.222+205725.721,05 45 33.223,+20 57 25.66,20.243,21.076,52
PSO J054529.838+205611.076,05 45 29.839,+20 56 11.05,16.134,16.138,60
PSO J054532.511+205706.348,05 45 32.517,+20 57 06.28,18.953,19.672,53
PSO J054452.949+210429.629,05 44 52.950,+21 04 29.61,21.704,21.690,52
PSO J054448.760+210323.140,05 44 48.762,+21 03 23.19,20.779,21.799,52
PSO J054515.494+210551.854,05 45 15.495,+21 05 51.85,22.165,21.075,32
PSO J054528.602+210409.053,05 45 28.602,+21 04 09.02,18.432,18.390,60
PSO J054525.019+210452.767,05 45 25.018,+21 04 52.63,22.158,21.930,52
PSO J054521.403+210523.112,05 45 21.404,+21 05 23.11,21.777,22.326,32
PSO J054459.442+210528.751,05 44 59.445,+21 05 28.76,18.692,18.967,37
PSO J054450.448+205605.739,05 44 50.446,+20 56 05.65,20.175,20.760,52
PSO J054444.302+210021.579,05 44 44.303,+21 00 21.50,19.965,20.169,53
PSO J054458.524+205437.384,05 44 58.523,+20 54 37.27,14.328,14.928,33
PSO J054534.908+210131.427,05 45 34.911,+21 01 31.45,19.095,19.099,60
PSO J054452.212+210420.921,05 44 52.214,+21 04 20.90,21.770,21.964,52
PSO J054519.032+205422.307,05 45 19.033,+20 54 22.20,21.540,21.266,52
PSO J054448.671+205637.779,05 44 48.674,+20 56 37.64,20.536,20.696,52
PSO J054507.750+210559.509,05 45 07.750,+21 05 59.45,19.989,20.052,52
PSO J054454.921+205507.055,05 44 54.923,+20 55 07.01,19.442,19.432,60
PSO J054513.778+210557.349,05 45 13.781,+21 05 57.30,19.590,19.516,52
PSO J054520.305+205428.804,05 45 20.307,+20 54 28.77,17.435,17.427,52
PSO J054508.466+210600.742,05 45 08.467,+21 06 00.72,20.311,20.649,52
PSO J054511.508+210600.770,05 45 11.509,+21 06 00.74,17.424,17.431,60
PSO J054458.593+205435.851,05 44 58.594,+20 54 35.85,15.364,9.974,32
PSO J054507.265+210559.487,05 45 07.268,+21 05 59.47,19.106,19.143,60
PSO J054535.146+205838.481,05 45 35.148,+20 58 38.42,21.712,22.162,52
PSO J054535.753+205933.907,05 45 35.754,+20 59 33.89,20.893,20.668,52
PSO J054445.957+210212.484,05 44 45.961,+21 02 12.44,19.965,19.946,52
PSO J054446.458+210229.179,05 44 46.459,+21 02 29.13,20.572,21.541,36
PSO J054506.115+205402.332,05 45 06.114,+20 54 02.28,21.066,21.697,164
PSO J054535.476+205859.856,05 45 35.480,+20 58 59.78,21.335,21.196,52
PSO J054517.904+210544.924,05 45 17.905,+21 05 44.90,19.634,20.550,37
PSO J054525.069+205505.762,05 45 25.073,+20 55 05.67,22.133,22.090,52
PSO J054451.550+210414.250,05 44 51.552,+21 04 14.23,22.732,22.123,36
PSO J054521.760+210522.920,05 45 21.761,+21 05 22.87,19.502,19.507,52
PSO J054451.969+210420.200,05 44 51.973,+21 04 20.16,21.487,21.569,52
PSO J054516.508+210550.923,05 45 16.509,+21 05 50.87,19.077,19.031,52
PSO J054444.886+210128.345,05 44 44.890,+21 01 28.35,17.544,17.789,61
PSO J054459.071+210528.702,05 44 59.073,+21 05 28.71,19.032,19.021,36
PSO J054448.574+210324.033,05 44 48.575,+21 03 24.03,21.385,22.000,33
PSO J054528.291+205543.170,05 45 28.292,+20 55 43.16,20.711,20.752,52
PSO J054444.841+210127.086,05 44 44.842,+21 01 27.02,18.794,18.785,36
PSO J054444.134+210022.734,05 44 44.136,+21 00 22.69,19.283,19.246,52
PSO J054444.072+210006.717,05 44 44.074,+21 00 06.67,17.001,17.012,60
PSO J054519.441+205421.712,05 45 19.441,+20 54 21.60,22.435,22.373,52
PSO J054444.487+210106.298,05 44 44.488,+21 01 06.26,20.581,20.575,52
PSO J054500.542+210538.491,05 45 00.548,+21 05 38.46,21.738,22.061,52
PSO J054532.341+205655.152,05 45 32.342,+20 56 55.08,20.929,21.596,37
PSO J054508.684+210603.066,05 45 08.685,+21 06 03.04,19.926,20.023,36
PSO J054457.299+205443.061,05 44 57.298,+20 54 42.95,21.076,22.001,37
PSO J054444.817+210128.614,05 44 44.818,+21 01 28.61,21.408,15.366,32
PSO J054504.769+205403.925,05 45 04.771,+20 54 03.87,15.853,15.875,60
PSO J054513.308+210600.675,05 45 13.310,+21 06 00.62,18.827,18.802,60
PSO J054449.141+205623.610,05 44 49.140,+20 56 23.52,21.206,21.573,37
PSO J054532.356+210305.214,05 45 32.354,+21 03 05.20,23.189,22.210,52
PSO J054448.742+205631.091,05 44 48.743,+20 56 31.01,20.649,20.589,52
PSO J054523.272+205447.361,05 45 23.273,+20 54 47.34,20.793,20.760,52
PSO J054503.611+210552.802,05 45 03.611,+21 05 52.74,21.357,22.191,36
PSO J054535.388+210118.116,05 45 35.389,+21 01 18.08,21.245,21.436,52
PSO J054525.587+210451.335,05 45 25.590,+21 04 51.31,21.273,21.142,52
PSO J054458.979+205430.380,05 44 58.978,+20 54 30.27,18.252,19.111,37
PSO J054525.918+205512.216,05 45 25.922,+20 55 12.17,19.605,19.630,52
PSO J054457.529+210519.811,05 44 57.530,+21 05 19.79,20.571,20.539,52
PSO J054535.276+210127.054,05 45 35.276,+21 01 27.00,18.445,18.473,60
PSO J054453.340+210440.124,05 44 53.341,+21 04 40.07,20.090,20.168,52
PSO J054501.405+210544.189,05 45 01.406,+21 05 44.18,21.693,22.287,52
PSO J054508.859+210604.495,05 45 08.860,+21 06 04.47,15.228,15.241,172
PSO J054516.066+210554.956,05 45 16.066,+21 05 54.92,15.995,16.004,60
PSO J054501.878+210546.786,05 45 01.874,+21 05 46.78,20.881,21.045,52
PSO J054535.130+205823.430,05 45 35.131,+20 58 23.38,22.283,21.744,52
PSO J054520.365+205425.085,05 45 20.369,+20 54 25.04,17.625,17.614,60
PSO J054531.201+205627.538,05 45 31.202,+20 56 27.52,20.787,20.640,52
PSO J054456.554+210513.036,05 44 56.557,+21 05 13.04,21.904,22.256,52
PSO J054519.208+205418.314,05 45 19.210,+20 54 18.27,19.269,19.235,52
PSO J054452.018+205535.257,05 44 52.021,+20 55 35.20,21.460,21.280,52
PSO J054530.973+210337.671,05 45 30.975,+21 03 37.67,21.694,21.534,52
PSO J054532.081+205645.205,05 45 32.082,+20 56 45.13,19.521,19.009,32
PSO J054531.741+210322.641,05 45 31.733,+21 03 22.65,19.135,19.216,60
PSO J054503.935+210555.655,05 45 03.937,+21 05 55.64,20.823,21.643,37
PSO J054527.354+210433.246,05 45 27.356,+21 04 33.21,20.420,20.387,52
PSO J054503.078+205407.346,05 45 03.078,+20 54 07.20,21.131,21.091,36
PSO J054535.689+210107.243,05 45 35.689,+21 01 07.13,19.802,19.788,52
PSO J054450.346+205558.883,05 44 50.347,+20 55 58.81,18.909,18.926,60
PSO J054444.092+210051.028,05 44 44.095,+21 00 50.98,17.788,17.801,60
PSO J054445.432+205753.763,05 44 45.435,+20 57 53.67,21.217,21.035,52
PSO J054535.506+210122.269,05 45 35.507,+21 01 22.23,18.580,18.584,60
PSO J054444.629+205829.744,05 44 44.631,+20 58 29.69,17.881,17.863,60
PSO J054536.009+210042.991,05 45 36.010,+21 00 42.95,22.213,22.557,36
PSO J054446.953+210254.574,05 44 46.957,+21 02 54.54,21.572,21.396,52
PSO J054508.196+210605.979,05 45 08.197,+21 06 05.97,21.597,22.030,36
PSO J054451.682+205537.866,05 44 51.684,+20 55 37.79,21.283,21.242,52
PSO J054509.314+205353.328,05 45 09.313,+20 53 53.23,20.278,21.490,37
PSO J054454.434+210455.311,05 44 54.435,+21 04 55.27,21.169,22.090,37
PSO J054510.245+210607.044,05 45 10.246,+21 06 07.02,17.285,17.300,60
