objName,raMean,decMean,rMeanApMag,rMeanPSFMag,qualityFlag
string,ra,dec,float,float,integer
PSO J054510.607+205952.836,05 45 10.608,+20 59 52.77,22.414,21.890,52
PSO J054510.474+210009.375,05 45 10.476,+21 00 09.33,19.524,19.496,52
PSO J054509.836+205940.818,05 45 09.837,+20 59 40.78,21.522,21.414,52
PSO J054511.408+205945.853,05 45 11.412,+20 59 45.85,21.587,21.664,52
PSO J054509.962+205928.652,05 45 09.964,+20 59 28.61,17.922,17.902,60
PSO J054507.721+205943.497,05 45 07.722,+20 59 43.50,20.875,21.130,32
PSO J054507.813+210020.628,05 45 07.814,+21 00 20.58,22.859,21.480,36
PSO J054511.770+210027.640,05 45 11.770,+21 00 27.59,22.409,21.625,52
PSO J054511.957+210025.689,05 45 11.960,+21 00 25.64,19.317,19.270,52
PSO J054507.687+210019.770,05 45 07.686,+21 00 19.65,17.273,17.353,32
PSO J054507.632+205941.151,05 45 07.633,+20 59 41.11,15.505,15.511,60
PSO J054507.493+210015.083,05 45 07.494,+21 00 15.05,17.777,17.774,60
PSO J054509.688+205921.804,05 45 09.688,+20 59 21.77,19.877,20.239,61
PSO J054511.815+205931.130,05 45 11.817,+20 59 31.11,21.553,21.158,52
PSO J054511.571+205927.124,05 45 11.572,+20 59 27.07,19.523,18.675,32
PSO J054512.983+210001.308,05 45 12.984,+21 00 01.26,18.020,18.016,60
PSO J054508.121+205926.663,05 45 08.123,+20 59 26.63,19.881,19.718,52
PSO J054507.705+210028.619,05 45 07.706,+21 00 28.64,25.111,22.433,52
PSO J054512.417+205932.079,05 45 12.418,+20 59 32.04,18.046,18.021,60
PSO J054506.873+210003.547,05 45 06.874,+21 00 03.49,23.026,21.585,52
PSO J054513.085+210009.622,05 45 13.087,+21 00 09.59,18.779,18.754,52
PSO J054512.841+205939.270,05 45 12.844,+20 59 39.26,18.233,18.613,37
PSO J054506.812+210012.415,05 45 06.814,+21 00 12.37,18.356,18.351,60
PSO J054507.763+205925.809,05 45 07.765,+20 59 25.77,20.806,20.720,52
PSO J054510.841+205914.677,05 45 10.842,+20 59 14.64,18.068,18.044,60
PSO J054507.237+210026.759,05 45 07.239,+21 00 26.67,18.624,18.616,60
PSO J054512.771+205932.377,05 45 12.771,+20 59 32.32,24.551,22.069,52
PSO J054506.585+210005.662,05 45 06.587,+21 00 05.62,17.087,17.088,60
PSO J054513.099+205939.210,05 45 13.101,+20 59 39.17,17.929,17.913,60
PSO J054510.708+205911.356,05 45 10.709,+20 59 11.29,20.913,20.993,52
PSO J054511.794+205916.671,05 45 11.789,+20 59 16.86,18.406,18.786,61
PSO J054506.426+205959.419,05 45 06.429,+20 59 59.38,21.511,21.302,52
PSO J054511.206+205912.682,05 45 11.206,+20 59 12.68,20.051,20.249,32
PSO J054508.094+210042.678,05 45 08.099,+21 00 42.65,19.360,19.707,52
PSO J054511.110+205912.153,05 45 11.111,+20 59 12.11,16.582,16.585,60
PSO J054508.049+210042.398,05 45 08.045,+21 00 42.37,19.273,19.687,53
PSO J054511.646+210044.906,05 45 11.648,+21 00 44.87,21.570,21.781,164
PSO J054507.360+205925.174,05 45 07.361,+20 59 25.15,18.798,18.776,52
PSO J054506.498+210016.127,05 45 06.501,+21 00 16.10,20.729,20.562,52
PSO J054511.633+205913.401,05 45 11.633,+20 59 13.33,20.452,21.513,53
PSO J054512.412+210040.011,05 45 12.411,+21 00 40.02,21.035,21.281,52
PSO J054508.223+205912.637,05 45 08.227,+20 59 12.58,20.223,20.106,52
PSO J054511.890+210047.999,05 45 11.890,+21 00 47.90,21.284,21.777,164
PSO J054511.691+210050.340,05 45 11.691,+21 00 50.25,22.282,22.011,52
PSO J054507.555+205914.830,05 45 07.557,+20 59 14.77,16.796,16.800,60
PSO J054508.258+210051.779,05 45 08.258,+21 00 51.73,21.040,20.854,52
PSO J054510.186+205902.654,05 45 10.186,+20 59 02.59,21.944,21.699,52
PSO J054512.782+205917.345,05 45 12.783,+20 59 17.29,22.131,21.782,52
PSO J054509.277+210057.230,05 45 09.267,+21 00 57.19,20.220,21.317,37
PSO J054509.368+210057.923,05 45 09.369,+21 00 57.88,20.383,21.434,37
PSO J054511.464+205904.705,05 45 11.467,+20 59 04.65,20.683,20.569,52
PSO J054509.451+210058.602,05 45 09.452,+21 00 58.56,20.365,21.502,37
PSO J054510.686+210058.477,05 45 10.687,+21 00 58.43,22.497,22.324,52
PSO J054512.955+205916.632,05 45 12.953,+20 59 16.58,22.403,22.068,52
PSO J054507.728+205909.056,05 45 07.729,+20 59 08.99,21.573,21.604,52
PSO J054513.618+210033.428,05 45 13.619,+21 00 33.39,22.179,22.363,36
PSO J054509.725+210101.213,05 45 09.727,+21 01 01.17,20.656,21.544,36
PSO J054511.875+205904.308,05 45 11.876,+20 59 04.25,21.685,21.956,52
PSO J054514.404+205957.949,05 45 14.407,+20 59 58.01,22.722,22.302,52
PSO J054507.684+210052.789,05 45 07.688,+21 00 52.73,21.452,21.746,52
PSO J054507.191+210048.267,05 45 07.192,+21 00 48.23,18.161,18.178,60
PSO J054512.497+210052.515,05 45 12.499,+21 00 52.49,19.586,19.583,52
PSO J054506.256+210037.588,05 45 06.257,+21 00 37.46,20.370,21.439,37
PSO J054509.270+205855.830,05 45 09.272,+20 58 55.79,19.941,19.870,52
PSO J054507.019+210049.911,05 45 07.019,+21 00 49.86,20.598,20.878,52
PSO J054505.582+205939.638,05 45 05.584,+20 59 39.60,19.001,18.975,60
PSO J054505.985+210033.542,05 45 05.986,+21 00 33.49,21.315,22.236,37
PSO J054507.811+205902.198,05 45 07.813,+20 59 02.16,15.616,15.624,60
PSO J054510.399+210105.370,05 45 10.410,+21 01 05.35,20.023,21.161,37
PSO J054511.715+210101.124,05 45 11.718,+21 01 01.11,21.342,21.318,52
PSO J054505.373+210012.731,05 45 05.375,+21 00 12.67,18.508,18.495,60
PSO J054514.421+205934.125,05 45 14.422,+20 59 34.07,22.149,21.891,36
PSO J054514.277+205929.396,05 45 14.278,+20 59 29.34,21.318,21.821,37
PSO J054505.343+210018.773,05 45 05.345,+21 00 18.75,20.457,20.280,52
PSO J054507.589+210059.079,05 45 07.589,+21 00 59.01,21.550,21.870,52
PSO J054510.699+210107.419,05 45 10.700,+21 01 07.38,19.915,21.084,37
PSO J054510.824+210108.146,05 45 10.825,+21 01 08.10,20.445,21.349,37
PSO J054505.137+205946.826,05 45 05.133,+20 59 46.88,21.037,20.950,52
PSO J054513.502+205910.443,05 45 13.502,+20 59 10.39,18.984,18.901,36
PSO J054513.500+205910.392,05 45 13.503,+20 59 10.33,18.899,18.905,60
PSO J054514.185+210038.973,05 45 14.186,+21 00 38.94,21.399,21.971,164
PSO J054512.364+205857.898,05 45 12.364,+20 58 57.90,21.185,21.871,32
PSO J054509.782+210110.569,05 45 09.783,+21 01 10.53,17.603,17.617,60
PSO J054510.992+210109.360,05 45 10.993,+21 01 09.32,19.832,20.803,37
PSO J054505.054+210016.745,05 45 05.055,+21 00 16.69,21.153,20.867,36
PSO J054504.926+210010.195,05 45 04.929,+21 00 10.16,19.955,19.894,52
PSO J054513.482+205906.535,05 45 13.483,+20 59 06.52,19.932,19.795,60
PSO J054504.891+205948.127,05 45 04.891,+20 59 48.05,28.330,22.505,52
PSO J054511.175+210110.845,05 45 11.175,+21 01 10.80,19.748,20.949,37
PSO J054506.736+205901.878,05 45 06.738,+20 59 01.84,23.540,22.002,52
PSO J054511.317+210111.784,05 45 11.319,+21 01 11.74,19.581,20.684,37
PSO J054509.150+210113.246,05 45 09.151,+21 01 13.20,21.807,21.757,52
PSO J054509.133+205846.591,05 45 09.137,+20 58 46.55,20.163,20.183,52
PSO J054513.921+210050.372,05 45 13.922,+21 00 50.34,20.268,20.291,52
PSO J054506.716+205901.366,05 45 06.712,+20 59 01.15,21.841,21.649,52
PSO J054508.001+210109.430,05 45 08.000,+21 01 09.37,20.543,21.260,36
PSO J054504.968+210025.943,05 45 04.969,+21 00 25.89,20.867,21.819,37
PSO J054512.791+210104.529,05 45 12.792,+21 01 04.49,17.364,17.373,60
PSO J054505.037+205930.212,05 45 05.039,+20 59 30.17,19.345,19.293,52
PSO J054513.074+210102.203,05 45 13.075,+21 01 02.17,21.424,21.240,52
PSO J054504.906+205933.921,05 45 04.908,+20 59 33.88,20.595,20.511,52
PSO J054510.904+210115.149,05 45 10.905,+21 01 15.09,20.850,21.203,52
PSO J054504.942+210028.086,05 45 04.943,+21 00 28.03,20.731,21.643,37
PSO J054511.412+210113.611,05 45 11.413,+21 01 13.57,20.268,21.572,37
PSO J054513.662+205903.239,05 45 13.663,+20 59 03.20,17.033,17.031,60
PSO J054514.647+210041.897,05 45 14.648,+21 00 41.85,18.892,18.847,52
PSO J054505.848+210051.263,05 45 05.849,+21 00 51.23,18.190,18.173,60
PSO J054515.609+210004.774,05 45 15.610,+21 00 04.75,21.804,21.325,52
PSO J054504.356+210002.714,05 45 04.357,+21 00 02.65,24.330,22.521,36
PSO J054506.549+210103.213,05 45 06.551,+21 01 03.17,21.896,22.015,32
PSO J054512.738+210109.731,05 45 12.738,+21 01 09.69,21.968,21.599,52
PSO J054515.621+210011.456,05 45 15.621,+21 00 11.46,20.987,20.513,32
PSO J054515.640+210013.175,05 45 15.641,+21 00 13.14,17.089,17.092,60
PSO J054506.590+210104.618,05 45 06.592,+21 01 04.59,22.115,22.178,52
PSO J054514.801+205914.711,05 45 14.803,+20 59 14.69,21.118,20.933,52
PSO J054511.372+205840.904,05 45 11.371,+20 58 40.86,20.727,21.578,52
PSO J054504.706+205925.794,05 45 04.708,+20 59 25.76,20.246,20.113,52
PSO J054504.142+205958.148,05 45 04.143,+20 59 58.09,21.122,20.923,36
PSO J054504.306+210020.734,05 45 04.307,+21 00 20.69,20.481,20.367,52
PSO J054506.247+210104.481,05 45 06.248,+21 01 04.46,21.106,21.129,52
PSO J054513.030+210112.092,05 45 13.031,+21 01 12.06,19.805,19.772,52
PSO J054510.607+210123.436,05 45 10.603,+21 01 23.33,17.430,18.346,37
PSO J054507.593+210116.826,05 45 07.593,+21 01 16.78,20.571,20.526,52
PSO J054504.509+210035.321,05 45 04.511,+21 00 35.29,19.069,19.050,52
PSO J054516.114+205951.495,05 45 16.114,+20 59 51.39,21.655,21.180,36
PSO J054505.137+210053.114,05 45 05.138,+21 00 53.07,22.762,22.243,52
PSO J054514.511+205901.180,05 45 14.514,+20 59 01.12,21.719,21.375,52
PSO J054515.939+210024.029,05 45 15.940,+21 00 23.99,21.557,21.851,52
PSO J054516.184+205959.880,05 45 16.186,+20 59 59.84,21.049,20.973,52
PSO J054509.660+210126.540,05 45 09.661,+21 01 26.50,21.628,21.777,52
PSO J054510.469+205833.662,05 45 10.471,+20 58 33.62,20.495,20.359,52
PSO J054507.409+205839.801,05 45 07.412,+20 58 39.78,20.296,20.236,60
PSO J054516.119+210023.375,05 45 16.119,+21 00 23.34,21.966,21.640,52
PSO J054515.528+210044.338,05 45 15.547,+21 00 44.24,20.870,21.636,53
PSO J054515.422+210047.888,05 45 15.414,+21 00 47.67,19.939,20.370,37
PSO J054505.600+210105.402,05 45 05.601,+21 01 05.37,18.045,18.061,60
PSO J054516.228+205938.564,05 45 16.229,+20 59 38.51,21.599,21.730,52
PSO J054503.581+205956.203,05 45 03.582,+20 59 56.15,22.496,22.175,52
PSO J054504.954+210056.818,05 45 04.956,+21 00 56.77,22.323,21.898,52
PSO J054504.683+205907.397,05 45 04.685,+20 59 07.35,20.509,20.354,52
PSO J054513.754+205845.369,05 45 13.755,+20 58 45.32,19.314,19.245,52
PSO J054507.988+205832.829,05 45 07.981,+20 58 32.74,22.105,22.016,52
PSO J054506.803+205839.956,05 45 06.803,+20 58 39.86,21.396,21.897,52
PSO J054515.033+210100.075,05 45 15.034,+21 01 00.04,21.485,22.447,52
PSO J054504.233+205913.971,05 45 04.235,+20 59 13.93,19.170,19.130,52
PSO J054512.848+205835.882,05 45 12.850,+20 58 35.84,18.072,18.065,60
PSO J054511.101+205828.021,05 45 11.101,+20 58 27.95,21.198,22.199,37
PSO J054516.642+205952.497,05 45 16.644,+20 59 52.45,20.345,20.496,52
PSO J054513.096+210122.832,05 45 13.096,+21 01 22.83,20.436,20.612,52
PSO J054503.594+205931.603,05 45 03.595,+20 59 31.56,18.844,18.817,60
PSO J054503.411+205940.138,05 45 03.413,+20 59 40.11,19.578,19.506,52
PSO J054516.663+210014.964,05 45 16.665,+21 00 14.90,21.562,21.416,52
PSO J054516.499+210028.144,05 45 16.497,+21 00 28.12,22.320,22.189,52
PSO J054503.350+205939.921,05 45 03.351,+20 59 39.92,21.710,20.345,32
PSO J054503.525+210029.611,05 45 03.526,+21 00 29.58,19.927,19.815,52
PSO J054512.671+210127.882,05 45 12.672,+21 01 27.85,19.628,19.674,52
PSO J054514.752+205851.142,05 45 14.730,+20 58 50.90,18.822,19.064,61
PSO J054505.639+210113.857,05 45 05.640,+21 01 13.81,20.720,21.545,37
PSO J054503.680+205923.295,05 45 03.681,+20 59 23.24,21.721,21.582,52
PSO J054504.660+205859.700,05 45 04.662,+20 58 59.65,14.527,14.536,60
PSO J054503.214+210015.391,05 45 03.216,+21 00 15.34,18.672,18.752,60
PSO J054512.047+205827.869,05 45 12.047,+20 58 27.79,21.173,22.223,37
PSO J054503.405+205931.362,05 45 03.407,+20 59 31.33,19.954,19.882,52
PSO J054513.180+210125.952,05 45 13.178,+21 01 25.97,19.614,20.503,37
PSO J054511.454+205825.336,05 45 11.456,+20 58 25.27,21.210,20.814,52
PSO J054515.177+205855.672,05 45 15.178,+20 58 55.63,16.798,16.807,60
PSO J054516.494+205925.069,05 45 16.497,+20 59 25.02,19.525,19.516,52
PSO J054512.030+210133.275,05 45 12.031,+21 01 33.24,21.022,21.687,36
PSO J054514.372+205844.214,05 45 14.374,+20 58 44.17,20.445,20.357,52
PSO J054516.961+210005.041,05 45 16.960,+21 00 04.99,21.227,21.265,52
PSO J054505.342+205846.058,05 45 05.342,+20 58 45.99,22.447,22.030,52
PSO J054516.979+205943.202,05 45 16.980,+20 59 43.16,20.935,21.318,52
PSO J054502.938+210008.303,05 45 02.942,+21 00 08.26,21.371,21.257,52
PSO J054516.344+205915.707,05 45 16.345,+20 59 15.66,20.742,21.017,52
PSO J054512.549+210133.113,05 45 12.548,+21 01 32.99,20.998,21.686,37
PSO J054517.110+205959.134,05 45 17.114,+20 59 59.07,17.907,17.899,60
PSO J054514.969+210111.424,05 45 14.970,+21 01 11.38,21.574,21.974,52
PSO J054509.014+205821.190,05 45 09.015,+20 58 21.15,18.928,18.951,52
PSO J054516.939+210022.752,05 45 16.942,+21 00 22.71,18.400,18.386,60
PSO J054516.897+205933.903,05 45 16.898,+20 59 33.85,21.793,22.230,36
PSO J054503.524+205917.521,05 45 03.526,+20 59 17.48,19.312,19.229,52
PSO J054514.053+210122.638,05 45 14.054,+21 01 22.61,19.336,18.795,32
PSO J054503.249+205926.578,05 45 03.249,+20 59 26.52,19.456,19.388,52
PSO J054508.819+205821.078,05 45 08.819,+20 58 21.00,20.824,21.505,53
PSO J054504.590+205853.495,05 45 04.591,+20 58 53.54,21.058,20.436,53
PSO J054503.209+210034.428,05 45 03.209,+21 00 34.37,22.193,21.564,52
PSO J054514.947+210114.011,05 45 14.948,+21 01 13.97,22.379,22.123,52
PSO J054513.890+210125.530,05 45 13.891,+21 01 25.48,15.415,15.438,60
PSO J054502.820+205945.976,05 45 02.822,+20 59 45.95,19.147,19.116,52
PSO J054504.244+210102.595,05 45 04.245,+21 01 02.56,18.825,18.840,60
PSO J054515.422+210108.315,05 45 15.423,+21 01 08.27,18.983,18.955,60
PSO J054503.135+205925.010,05 45 03.135,+20 59 24.94,18.697,18.686,53
PSO J054509.560+205817.388,05 45 09.586,+20 58 17.60,20.887,21.814,52
PSO J054504.221+210103.696,05 45 04.221,+21 01 03.70,22.838,21.567,32
PSO J054508.121+205820.469,05 45 08.121,+20 58 20.39,20.968,21.854,53
PSO J054509.560+205817.265,05 45 09.555,+20 58 17.16,20.741,21.764,37
PSO J054516.019+210059.804,05 45 16.021,+21 00 59.75,18.998,18.957,52
PSO J054508.160+210140.472,05 45 08.162,+21 01 40.43,14.092,14.110,60
PSO J054506.958+205825.419,05 45 06.957,+20 58 25.37,21.817,21.972,52
PSO J054507.759+205821.047,05 45 07.760,+20 58 21.01,19.510,19.518,60
PSO J054506.217+210129.542,05 45 06.218,+21 01 29.49,21.378,21.688,52
PSO J054502.932+210032.121,05 45 02.934,+21 00 32.06,18.509,18.490,60
PSO J054516.501+205909.286,05 45 16.502,+20 59 09.25,17.186,17.197,60
PSO J054511.075+205816.861,05 45 11.076,+20 58 16.83,20.537,20.627,52
PSO J054517.377+205944.048,05 45 17.378,+20 59 44.00,21.142,22.052,37
PSO J054503.363+210048.572,05 45 03.364,+21 00 48.52,22.083,21.730,52
PSO J054512.843+210137.386,05 45 12.844,+21 01 37.36,20.125,20.470,53
PSO J054510.246+205813.786,05 45 10.246,+20 58 13.79,20.667,20.130,32
PSO J054505.446+210125.359,05 45 05.455,+21 01 25.28,19.040,19.373,53
PSO J054512.712+210139.474,05 45 12.712,+21 01 39.45,18.306,18.378,60
PSO J054506.465+210135.318,05 45 06.467,+21 01 35.28,19.789,21.083,37
PSO J054510.152+205812.383,05 45 10.153,+20 58 12.33,17.658,17.664,60
PSO J054502.593+210030.576,05 45 02.598,+21 00 30.50,19.200,19.174,52
PSO J054516.343+210101.664,05 45 16.343,+21 01 01.62,18.888,18.899,60
PSO J054511.909+210145.037,05 45 11.910,+21 01 45.01,21.979,22.063,164
PSO J054514.194+210131.119,05 45 14.196,+21 01 31.07,21.714,21.760,52
PSO J054512.379+210143.207,05 45 12.379,+21 01 43.17,19.372,19.497,52
PSO J054502.514+205931.452,05 45 02.516,+20 59 31.39,21.653,21.445,36
PSO J054506.463+210136.758,05 45 06.464,+21 01 36.72,20.988,21.626,36
PSO J054511.483+205812.190,05 45 11.483,+20 58 12.15,16.895,16.907,60
PSO J054514.174+210133.215,05 45 14.175,+21 01 33.18,20.924,21.299,37
PSO J054503.481+210102.714,05 45 03.481,+21 01 02.66,20.501,20.431,52
PSO J054517.800+210018.274,05 45 17.802,+21 00 18.19,22.416,22.047,52
PSO J054516.719+205901.476,05 45 16.719,+20 59 01.42,21.059,21.763,37
PSO J054503.936+210111.892,05 45 03.937,+21 01 11.85,21.126,21.850,36
PSO J054504.160+210115.788,05 45 04.170,+21 01 15.81,21.311,21.764,36
PSO J054504.524+210121.212,05 45 04.523,+21 01 21.20,18.288,17.982,60
PSO J054516.388+205852.794,05 45 16.387,+20 58 52.72,20.403,21.436,53
PSO J054513.954+205822.545,05 45 13.954,+20 58 22.48,21.511,22.214,37
PSO J054516.358+205851.270,05 45 16.358,+20 58 51.46,21.126,21.439,52
PSO J054515.056+205832.614,05 45 15.056,+20 58 32.57,21.289,21.098,52
PSO J054517.582+210037.120,05 45 17.587,+21 00 37.07,19.943,19.863,52
PSO J054514.323+210134.982,05 45 14.318,+21 01 34.93,22.491,21.978,36
PSO J054517.840+210025.466,05 45 17.841,+21 00 25.42,21.692,21.718,52
PSO J054513.287+205817.182,05 45 13.287,+20 58 17.11,20.378,19.816,36
PSO J054508.575+210151.396,05 45 08.575,+21 01 51.32,21.486,21.488,52
PSO J054513.425+205817.550,05 45 13.423,+20 58 17.54,17.341,17.481,61
PSO J054517.832+210028.434,05 45 17.834,+21 00 28.39,20.297,20.151,52
PSO J054504.783+210126.831,05 45 04.784,+21 01 26.79,17.392,14.356,32
PSO J054513.520+210142.245,05 45 13.519,+21 01 42.22,16.048,15.991,60
PSO J054505.018+210129.586,05 45 05.019,+21 01 29.54,15.222,14.093,36
PSO J054518.028+205943.580,05 45 18.029,+20 59 43.53,19.720,20.573,37
PSO J054508.829+205807.627,05 45 08.834,+20 58 07.50,21.202,22.143,53
PSO J054515.225+210127.036,05 45 15.226,+21 01 27.05,22.449,21.852,52
PSO J054515.245+210127.145,05 45 15.244,+21 01 27.11,22.179,22.063,36
PSO J054517.507+205915.737,05 45 17.509,+20 59 15.90,19.631,20.740,37
PSO J054505.675+210136.693,05 45 05.677,+21 01 36.67,20.425,21.322,53
PSO J054514.519+210135.463,05 45 14.521,+21 01 35.43,20.623,21.638,36
PSO J054502.504+205913.564,05 45 02.505,+20 59 13.51,22.576,22.355,52
PSO J054504.768+210128.557,05 45 04.770,+21 01 28.52,14.650,14.452,32
PSO J054501.992+205934.825,05 45 01.994,+20 59 34.79,19.079,19.019,52
PSO J054504.469+210125.118,05 45 04.470,+21 01 25.07,16.323,17.725,33
PSO J054507.065+205812.589,05 45 07.066,+20 58 12.50,20.710,21.735,52
PSO J054517.943+205929.010,05 45 17.944,+20 59 29.01,16.085,14.216,32
PSO J054505.982+210140.923,05 45 05.982,+21 01 40.87,20.909,21.654,37
PSO J054514.559+210136.593,05 45 14.560,+21 01 36.56,19.295,20.470,37
PSO J054515.949+205839.693,05 45 15.951,+20 58 39.65,19.476,19.412,52
PSO J054502.203+210039.092,05 45 02.204,+21 00 39.05,20.941,20.942,52
PSO J054501.719+210004.641,05 45 01.720,+21 00 04.58,21.135,22.053,37
PSO J054518.264+205951.178,05 45 18.265,+20 59 51.14,16.525,16.531,60
PSO J054517.963+210032.548,05 45 17.964,+21 00 32.50,21.633,21.680,52
PSO J054509.346+210156.253,05 45 09.347,+21 01 56.21,18.086,18.077,52
PSO J054512.519+205808.689,05 45 12.519,+20 58 08.61,21.200,21.510,52
PSO J054511.002+210156.746,05 45 11.003,+21 01 56.70,20.933,20.636,52
PSO J054514.392+210140.371,05 45 14.393,+21 01 40.34,21.508,21.833,36
PSO J054513.406+210147.715,05 45 13.406,+21 01 47.72,15.489,13.854,32
PSO J054508.466+205804.034,05 45 08.468,+20 58 04.00,18.535,18.571,60
PSO J054510.829+205802.503,05 45 10.829,+20 58 02.42,21.268,22.094,37
PSO J054518.178+205930.270,05 45 18.178,+20 59 30.27,14.366,13.148,32
PSO J054512.637+205807.160,05 45 12.638,+20 58 07.08,20.031,21.272,36
PSO J054501.684+205934.760,05 45 01.696,+20 59 34.88,19.740,19.746,36
PSO J054502.805+210103.698,05 45 02.807,+21 01 03.65,22.563,21.770,52
PSO J054514.836+210138.119,05 45 14.837,+21 01 38.09,20.250,21.194,37
PSO J054509.200+205801.342,05 45 09.200,+20 58 01.26,21.222,22.286,37
PSO J054513.493+210148.877,05 45 13.494,+21 01 48.88,13.883,13.451,128
PSO J054518.348+205934.793,05 45 18.348,+20 59 34.74,14.746,15.356,33
PSO J054511.490+205802.225,05 45 11.492,+20 58 02.19,20.157,20.135,52
PSO J054515.802+210127.952,05 45 15.804,+21 01 27.91,21.467,21.174,52
PSO J054501.445+205954.936,05 45 01.447,+20 59 54.90,19.160,19.113,52
PSO J054518.505+205945.844,05 45 18.505,+20 59 45.80,20.116,20.681,53
PSO J054514.520+210142.140,05 45 14.515,+21 01 42.10,21.044,21.846,37
PSO J054509.242+210159.771,05 45 09.245,+21 01 59.70,20.114,19.987,52
PSO J054510.455+205759.837,05 45 10.465,+20 57 59.76,20.348,21.601,37
PSO J054511.618+210158.527,05 45 11.620,+21 01 58.48,19.060,19.006,60
PSO J054510.214+210201.086,05 45 10.212,+21 02 01.00,19.435,19.386,60
PSO J054518.561+210017.342,05 45 18.562,+21 00 17.30,22.005,22.021,52
PSO J054518.459+205932.878,05 45 18.459,+20 59 32.88,15.202,10.283,32
PSO J054506.763+205807.068,05 45 06.766,+20 58 07.03,19.090,19.109,52
PSO J054518.493+205933.497,05 45 18.480,+20 59 33.19,13.994,10.288,36
PSO J054518.514+205934.853,05 45 18.514,+20 59 34.85,14.744,15.187,161
PSO J054517.960+205910.822,05 45 17.961,+20 59 10.77,20.961,21.998,36
PSO J054516.985+210112.743,05 45 16.986,+21 01 12.71,21.340,22.130,52
PSO J054518.479+205931.891,05 45 18.480,+20 59 31.84,13.695,13.567,36
PSO J054514.918+205818.836,05 45 14.919,+20 58 18.79,18.246,18.273,60
PSO J054505.181+205817.690,05 45 05.181,+20 58 17.62,21.498,21.953,52
PSO J054515.110+210139.863,05 45 15.112,+21 01 39.84,20.947,21.318,37
PSO J054508.002+210159.811,05 45 08.006,+21 01 59.73,19.820,19.768,52
PSO J054504.193+205827.672,05 45 04.195,+20 58 27.62,16.348,16.352,60
PSO J054518.591+205933.846,05 45 18.592,+20 59 33.80,14.219,14.005,32
PSO J054515.826+210132.823,05 45 15.828,+21 01 32.80,24.130,22.322,52
PSO J054517.509+205855.098,05 45 17.510,+20 58 55.07,18.184,18.185,60
PSO J054511.467+205757.987,05 45 11.467,+20 57 57.90,21.587,22.299,37
PSO J054506.226+210152.078,05 45 06.227,+21 01 52.04,21.637,22.393,36
PSO J054506.280+210152.562,05 45 06.281,+21 01 52.53,21.182,22.140,37
PSO J054518.674+210026.282,05 45 18.676,+21 00 26.25,20.599,20.312,52
PSO J054515.361+205820.475,05 45 15.362,+20 58 20.41,20.911,21.750,52
PSO J054517.330+205849.161,05 45 17.331,+20 58 49.11,18.935,18.830,36
PSO J054518.197+205910.824,05 45 18.198,+20 59 10.77,19.068,18.335,36
PSO J054501.075+210004.288,05 45 01.076,+21 00 04.23,20.510,20.716,36
PSO J054501.165+205939.333,05 45 01.167,+20 59 39.29,20.925,20.759,52
PSO J054501.227+205934.478,05 45 01.229,+20 59 34.43,18.568,18.554,60
PSO J054508.619+210204.194,05 45 08.621,+21 02 04.15,18.392,18.372,60
PSO J054514.511+205811.161,05 45 14.511,+20 58 11.09,21.435,22.395,36
PSO J054501.237+205931.703,05 45 01.238,+20 59 31.64,21.242,21.127,52
PSO J054508.376+205755.934,05 45 08.376,+20 57 55.96,20.503,20.906,52
PSO J054505.375+210148.322,05 45 05.375,+21 01 48.28,19.434,19.096,36
PSO J054503.357+205834.543,05 45 03.359,+20 58 34.50,17.895,17.882,60
PSO J054505.887+210152.704,05 45 05.887,+21 01 52.68,20.463,20.457,52
PSO J054501.494+210043.287,05 45 01.494,+21 00 43.29,27.937,22.483,32
PSO J054502.582+210112.919,05 45 02.584,+21 01 12.88,21.321,21.611,52
PSO J054517.767+205854.554,05 45 17.768,+20 58 54.49,20.861,20.951,52
PSO J054502.523+205848.134,05 45 02.524,+20 58 48.08,21.006,21.625,37
PSO J054503.697+210131.448,05 45 03.698,+21 01 31.40,21.024,21.480,52
PSO J054514.828+210147.822,05 45 14.832,+21 01 47.72,19.874,19.944,52
PSO J054505.063+210146.845,05 45 05.065,+21 01 46.80,18.989,18.995,52
PSO J054500.899+205957.511,05 45 00.900,+20 59 57.45,21.025,22.059,37
PSO J054510.846+210207.417,05 45 10.848,+21 02 07.38,22.772,22.045,52
PSO J054518.225+210055.717,05 45 18.226,+21 00 55.72,23.148,22.443,32
PSO J054515.208+210145.443,05 45 15.209,+21 01 45.40,19.526,19.542,52
PSO J054512.179+205755.147,05 45 12.180,+20 57 55.12,19.376,19.435,52
PSO J054518.659+205917.135,05 45 18.660,+20 59 17.08,20.732,21.171,52
PSO J054512.196+210205.628,05 45 12.197,+21 02 05.58,17.593,17.598,172
PSO J054512.905+205757.314,05 45 12.905,+20 57 57.24,21.304,22.262,37
PSO J054500.768+205949.969,05 45 00.769,+20 59 49.93,20.640,20.572,52
PSO J054516.312+205824.850,05 45 16.312,+20 58 24.78,21.073,22.312,37
PSO J054504.104+210140.699,05 45 04.104,+21 01 40.63,21.341,21.947,37
PSO J054501.893+205855.844,05 45 01.894,+20 58 55.79,15.257,15.270,60
PSO J054502.006+210107.093,05 45 02.009,+21 01 07.04,19.755,20.722,53
PSO J054518.840+210041.802,05 45 18.841,+21 00 41.76,18.947,18.910,60
PSO J054502.773+205837.363,05 45 02.775,+20 58 37.33,19.781,19.738,52
