Gc logAge [M/H] m_ini   logL   logTe logg  m-M0   Av    m2/m1 mbol   U      B      V      R      I      J      H      K        Mact
 1   8.99  0.19  0.54045 -1.302 3.599  4.814  7.60  0.036 0.00 15.626 19.074 17.990 16.738 15.853 14.981 13.993 13.312 13.181  0.540
 1   9.01 -0.09  0.37789 -1.677 3.578  4.952  8.00  0.037 0.00 16.962 20.708 19.566 18.218 17.270 16.300 15.276 14.682 14.499  0.378
 1   9.03 -0.09  0.18015 -2.354 3.529  5.108  9.00  0.038 0.00 19.655 24.516 23.042 21.473 20.377 19.086 17.872 17.312 17.064  0.180
 1   9.03 -0.03  0.27838 -1.958 3.558  5.020  6.70  0.033 0.83 15.788 20.063 18.758 17.302 16.293 15.165 14.059 13.481 13.255  0.278
 1   9.03  0.05  0.36020 -1.742 3.569  4.958  6.70  0.033 0.00 15.825 19.772 18.590 17.223 16.248 15.179 14.108 13.520 13.323  0.360
 1   9.03  0.19  0.44070 -1.547 3.578  4.886 11.80  0.038 0.00 20.437 24.231 23.129 21.838 20.871 19.798 18.718 18.112 17.936  0.441
 1   9.05 -0.27  1.07394  0.136 3.795  4.457  7.20  0.035 0.00 11.630 12.174 12.223 11.701 11.378 11.089 10.738 10.458 10.432  1.074
 1   9.05 -0.07  0.76524 -0.675 3.678  4.655  6.90  0.034 0.97 12.683 14.928 14.148 13.122 12.500 12.004 11.293 10.706 10.633  0.765
 1   9.05 -0.07  0.19662 -2.246 3.541  5.089  8.80  0.038 0.00 19.185 23.778 22.372 20.848 19.796 18.590 17.432 16.864 16.622  0.197
 1   9.05  0.05  0.10132 -3.056 3.449  5.241  8.30  0.037 0.00 20.709 28.093 25.868 23.970 22.413 20.466 18.717 18.181 17.888  0.101
 1   9.05  0.15  0.18633 -2.340 3.522  5.083  7.40  0.036 0.00 18.019 22.955 21.508 19.949 18.829 17.468 16.212 15.662 15.410  0.186
 1   9.07 -0.13  0.23072 -2.098 3.554  5.063  6.10  0.030 0.00 16.116 20.423 19.076 17.594 16.586 15.489 14.394 13.817 13.589  0.231
 1   9.07 -0.13  1.35825  0.635 3.842  4.249  9.60  0.038 0.00 12.783 13.133 13.174 12.807 12.573 12.365 12.127 11.947 11.930  1.358
 1   9.07  0.09  0.70357 -0.875 3.645  4.687  7.90  0.037 0.00 14.857 17.675 16.665 15.512 14.781 14.197 13.380 12.714 12.624  0.704
 1   9.07  0.13  0.46241 -1.488 3.584  4.873  4.40  0.019 0.00 12.891 16.543 15.448 14.163 13.227 12.233 11.196 10.576 10.413  0.462
 1   9.07  0.17  0.75660 -0.750 3.660  4.651  8.40  0.037 0.00 15.046 17.662 16.706 15.596 14.910 14.371 13.605 12.981 12.900  0.757
